end,end 2,end 3
Tailoring & Tailors of Durgapur,,
Name,Address,Contact No
Ajimuddin and Son's (Gents),"Steel Market, Durgapur-713204",0343 2573124
Azad Tailor (Gents),"Stall No. 93, Sarat Chandra East Avenue, Chandidas market, B-Zone, Durgapur-713205",09093610517
B. N Tailors (Gents),"Stall No- 11, Tilok - David More, B-Zone, Durgapur-713205",09434536143
Campus Ladies Tailors,"42 shop no, Near steel market, Steel Market, A-Zone, Durgapur - 713204",09735820626
Chandi Tailors (Gents),"Stall No-78, Sarat Chandra Avenue(East), Chandidas market, B-Zone, Durgapur- 713205",09832718485
City Queen (Ladies),"Stall No-89, Sarat chandra east Avenue, Chandidas market, B-Zone, Durgapur-713205",0343 2603380/ 9233599155
Cutting Centre (Gents),"Sagar Bhanga, Ghosh Market, Durgapur - 713211",0343- 3205757
Das Tailors,Durgapur,0343 2554039
Dholpin Tailors,Durgapur,0343 6534119
Dressco Tailors (Gents),"24, Steel Market, A-Zone, Durgapur - 713204",0343 2570610/ 9932511195
D.R. Tailors,"Steel Park, Bidhan Nagar, Durgapur - 713206",09126847813
Famous Tailors,Durgapur,09832214994
Globe (Ladies & Gents),"Stall No-207, Sarat chandra West Avenue, Chandidas market, B-Zone, Durgapur-713205",09434332901
Hare Krishna (Furnishing Tailors),"MWAV-03, Bengal Ambuja, City Centre, Durgapur-713216",09681527518/ 9153019912
Lotus Tailor (Ladies),"83, Sarat Chandra east Avenue, Chandidas market, B-Zone, Durgapur-713205",9564631713
Munmun Tailors (Ladies),"Sagar Bhanga, Chatterjee Market, Durgapur - 713211",09775788292
M. D. Tailors (Ladies & Gents),"Durgapur Station Road, Hattala Road, Durgapur - 713201",09932892321
New Azad Tailor (Gents),"Stall No-59, Sarat Chandra East Avenue, Chandidas market, B-Zone, Durgapur-713205",09832132406
Poshaki,Durgapur,0343 2533355
Pritam Ladies Tailors,"Stall No-937, Chandidas Bazar, Dr. B.c Roy Market, B-Zone, Durgapur- 713205",09434470681/ 9233732694
Rakhi Tailors (Ladies and Gents),"Trinayani Mansion, Benachity, Durgapur - 713213",09332979354
Rambo Tailors (Gents),"Sarat Chandra West Avenue, Chandidas market, B-Zone, Durgapur-713205",09851126272
Roy Tailors (Gents),"Stall No CS 4, Sarat Chandra Avenue, B Zone, Durgapur 713205",09332458504
Sengupta Tailor And Boutique (ladies),"Durgapur Mini Market, Durgapur - 713202",09434982545
Shibani Ladies Tailora,"Stall No-14, Khola market, Ashok Avenue, Durgapur - 713204",0
Subhash Tailors (ladies & Gents),"Durgapur Station Road, Durgapur - 713201",09837748051
Subhodeep Tailor (Gents Specialists),"open market, Ashok Avenue, A-zone, Durgapur - 713204",09775227966
