end,end 2,end 3
Water Suppliers of Durgapur,,
Name,Address,Contact No
Durgapur Water Supplier (Mineral Water Supplier),"Trunk Road, A-Zone, Durgapur-713204",09378362363
Gangotri (Water Tank Supplier),"Mahiskapur Marconi Road, Near Subhas Ch. Boys Club, B-Zone, Durgapur-713205",09434538053/ 8900311655/ 9832189393/ 8906154822
Maa Ganga Water Supply (Water Tank Supplier),"B-Zone, Durgapur-713205",09434536254/ 9832167020
Maa Tara Water Supply (Water Tank Supplier),"57, S.N. Banerjee Road, A-Zone, Durgapur- 713204",0343- 2574200/ 9832197251
Rinka Pan Mahal  (Mineral Water Supplier),"Chandidas Avenue, B-Zone, Durgapur-713204",07872596973
Sitaram Stores (Mineral Water Supplier),Durgapur-713201,09233945729
Solution Enterprise (Mineral Water Supplier) (Water Tank Supplier),"C/13 Ram Kinkar Bez Saroni Road, Dpctor's Colony ext., City Centre, Durgapur-713216","+91 8145977753, 9732094785"
Star Water Supplier,"Aryabhatta Road, B-Zone, Durgapur-713205",09735165869/ 70
Trishna (Water Tank Supplier),"Gold Line Communication, David C-Zone More, Near Jagannath Mandir, Durgapur-713205",09434225767/ 9800142854/ 9832171885/ 9332800796
Trishna Aqua Company (Mineral Water Supplier),"D-118, Shastri Avenue, Bidhannagar, Bidhannagar, Durgapur - 713212",09474005455
