end,end 2,end 3,end 4,end 5
Tutorial homes in Durgapur,,,,
Name,Subject,class,Address,Contact No
Aakash Institute,"Physics, Chemistry, Maths","IX to XII, IIT, JEE, Medical, PMT","1st Floor, Room No 211, Urvashi Phase- 2, Dr Ambedkar Sarani, City Centre Durgapur, Durgapur - 713216",+91-343-6490992/ 6490993/ 6490994/ 3945454/ 9333882601/ 9332561997/ 9333858883/ 9614117794
Adamas Career,"JEE, WBJEE (Medical & Engineering), AIPMT (Medical),",Foundation  Course VI to X,Durgapur,+91-8584073869
Advent Education pvt ltd,"English, English Conversation","IX to XII, IIT, JEE","CA -21 P Ground Floor, Urvashi Phase-2, City Centre, Durgapur - 713216",+91-343-3207082/ 9163565349
Career Launcher India Ltd,"Tutorials, GATE Exam, MAT, CAT, Bank exam, Competitive Exam, Law Tutorials",IX to XII & Other classes,"2nd Floor, Durgapur Cinema Hall Complex, DC Hall, City Centre, Durgapur - 713216",+91-343-6454616/ 9333124685
FIITJEE Durgapur,"JEE, IIT",IX to XII & Other classes,"A-3 Nandalal Bithi, City Centre, Durgapur - 713216","0343-2542643, +91-8116604677"
Fun Learning,"Tutorials, English Tutorials, CBSE Tutorials",IX to XII & Other classes,"City Centre, Durgapur - 713216",+91-8759367452
GeNext Education,"Tutorials, Competitive Exam, Bank exam, CAT, IIT, JEE, MAths",IX to XII,"Nabalabanya, Ambedkar Sarani, Near MORE Shop, City Centre, Durgapur - 713216",+91-8759082450
Gayan Sanchar,"Tutorials, education coaching centre",IX to XII Tutorials,"B-64, Sukanta Path, City Centre, Durgapur - 713216",+91-9851005162/ 9851000165
GUIDANCE,"Science, Math, English, Economics,History and Geography",IV to X  Tutorials,"41 Debi Chaudhurani Path, City Centre, Durgapur - 713216",+91- 9933757717/ 9748238681
Halder College Of Further Education,"Tutorials, Competitive Exam, Banking exam, Railway Exam",IX to XII,"14, Mukundu DAS Path, City Centre, Durgapur - 713216",+91- 9333951430
Ims Learning Resources Study Centre,"Tutorials, CAT, MAT, GMAT, GRE, MBA, Law tutorials",XII onwards,"1/2, Ambedkar Sarani, Opposite Punjab & Sind Bank, City Centre, Durgapur - 713216",+91-0343-2544213/ 9332250320
Limitless Learning,"Physics, Chemistry, Maths",IX to XII (IIT JEE),Durgapur,9233387104
Mieried Competitive Institution,Tutorials,IX to XII,"Goplamath Road, Goplamath, Durgapur - 713217",+91-9641374157
Nics Durgapur,"Tutorials, IIT JEE, PMT, AIEEE, AIPMT",X and XII and onwards,"3/3, Doctors Colony, Durgapur - 713216 .",+91-0343-2543931/ 9434649426
Nivedita Patha Bhaban,"All Subjects, Education coaching centres",V- X and XII,"3F/1 Nivedita Place, Benachity, Durgapur-713213 WS-1, Secondary Road, A-zone, Durgapur-713204.",09933163313/ 9832232900
Pathfinder Educational Centre,"Physics, Chemistry, Maths, Biology","IX to XII, IIT JEE, PMT, AIEEE","54, Maulana Azad Sarani, City Centre, Durgapur - 713216",+91-0343-3207761/ 2606085
Rice Education,"Competitive Exams, Bank exams, Railway Exam, Police Exam",After class XII,"1st Floor, Samanta Complex, Philips Lane, Near Anuradha Cinema Hall, Opposite Of Bank Of Baroda, Benachity, Durgapur - 713213",+91-9332482884/ 8479900578/ 8479917964
Ritesh Academy,"Physics, Chemitry, Mathematics, Biology.",IIT-JEE & AIEEE & XI-XII (All Boards),"Nachan Road, Opp PNB, 1ST Floor, Durgapur-713213",8159082303/ 8927511842
Ritesh Misra (RKM Sir) RONAK Classes,Maths,JEE & XI-XII All Boards,"8A/11, Jibanand Das path, Kabiguru-2, City Centre, Durgapur-16",8159082303/ 8927511842
Smart Classes,"Physics, Mathematics & Computer Sciences","VIII to XII, IITJEE, WBJEE, BCA, MCA, BSc & BTech.(CSE)","15A/1/26 SEPCO TOWNSHIP, B-Zone, Durgapur - 713205",9830344722
Smart Educare,All Subjects (Class III-V),"VI- X  (Bengali, Biology & SST) and XI-XII( Biology & Bengali)","4/13 Einstein Avenue, B-zone, Durgapur-713205",09434358743/ 9126056520
Smart Tution,All Subjects,(Class I-VI),"The Rainbow, UCP-005, Bengal Ambuja, City Centre, Durgapur-713216",09609988555/ 8927088671
The Professionals,Tutorials,All Subjects,"City Centre, Durgapur - 713216",+91-9732078774
The Success,Tution classes Clss VIII - XII,"Social Science, English, Pol Science, Economics","Edison Road, B-Zone, Durgapur - 713205",+91-9732078774
Vidyangan coaching classes,"Class:vii-xii, (icse/ cbse  / isc)","English, social science","S. N. Banerjee Road, A-zone, Durgapur - 713204",+91-9933866294
